id,state,cwa,name,lon,lat,poi_dist_mi,method,polygons,vertices
ALZ001,AL,HUN,"Lauderdale",-87.79037,34.88069,8.59,poi,1,226
ALZ002,AL,HUN,"Colbert",-87.98018,34.69276,8.03,poi,1,253
ALZ003,AL,HUN,"Franklin",-87.98189,34.44533,9.03,poi,1,50
ALZ004,AL,HUN,"Lawrence",-87.31785,34.47496,11.97,poi,1,193
ALZ005,AL,HUN,"Limestone",-86.98611,34.82878,11.28,poi,1,133
ALZ006,AL,HUN,"Madison",-86.56482,34.79874,12.45,poi,1,346
ALZ007,AL,HUN,"Morgan",-86.93879,34.44614,9.34,poi,1,141
ALZ008,AL,HUN,"Marshall",-86.29869,34.36152,10.47,poi,1,258
ALZ009,AL,HUN,"Jackson",-85.98684,34.77109,15.02,poi,2,307
ALZ010,AL,HUN,"DeKalb",-85.82112,34.42164,9.67,poi,1,220
ALZ011,AL,BMX,"Marion",-87.83162,34.14999,11.13,poi,1,67
ALZ012,AL,BMX,"Lamar",-88.10266,33.66273,8.93,poi,1,69
ALZ013,AL,BMX,"Fayette",-87.75113,33.74025,11.25,poi,1,67
ALZ014,AL,HUN,"Winston",-87.41515,34.14858,10.56,poi,1,74
ALZ015,AL,BMX,"Walker",-87.28762,33.81879,11.9,poi,1,200
ALZ016,AL,HUN,"Cullman",-86.90251,34.13576,11.98,poi,1,341
ALZ017,AL,BMX,"Blount",-86.54655,33.95654,10.21,poi,1,400
ALZ018,AL,BMX,"Etowah",-86.02642,34.05343,10.09,poi,1,235
ALZ019,AL,BMX,"Calhoun",-85.83857,33.75074,11.31,poi,1,186
ALZ020,AL,BMX,"Cherokee",-85.61096,34.12298,10.25,poi,1,181
ALZ021,AL,BMX,"Cleburne",-85.48912,33.62296,8.78,poi,1,124
ALZ022,AL,BMX,"Pickens",-88.07064,33.28938,13.43,poi,1,202
ALZ023,AL,BMX,"Tuscaloosa",-87.53794,33.26635,17.35,poi,1,198
ALZ024,AL,BMX,"Jefferson",-86.81259,33.62626,13.56,poi,1,318
ALZ025,AL,BMX,"Shelby",-86.68742,33.22897,10.89,poi,1,325
ALZ026,AL,BMX,"St. Clair",-86.36299,33.6528,9.29,poi,1,442
ALZ027,AL,BMX,"Talladega",-86.11861,33.41979,8.45,poi,1,360
ALZ028,AL,BMX,"Clay",-85.82195,33.24507,9.71,poi,1,98
ALZ029,AL,BMX,"Randolph",-85.45632,33.27202,10.95,poi,1,77
ALZ030,AL,BMX,"Sumter",-88.20834,32.49483,11.01,poi,1,383
ALZ031,AL,BMX,"Greene",-87.97827,32.9149,9.18,poi,1,735
ALZ032,AL,BMX,"Hale",-87.64334,32.7932,9.93,poi,1,339
ALZ033,AL,BMX,"Perry",-87.26574,32.65733,11.96,poi,1,147
ALZ034,AL,BMX,"Bibb",-87.11088,32.99216,10.8,poi,1,93
ALZ035,AL,BMX,"Chilton",-86.68872,32.86435,10.88,poi,1,173
ALZ036,AL,BMX,"Coosa",-86.21564,32.92984,12.04,poi,1,159
